cd,new_pop,pop_u18,hisp,white,black,asian,other_race,multiracial,pop_acs23,dem,rep,blank,third_parties,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,adams,sliwa,mayor_votes,active_voters_21,mayor_turnout_pct,prez_votes,active_voters_24,prez_turnout_24,active_voters_23,council_turnout_23,incumbent,boro,party,ntas,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,mhIncome
12,181064.0,38704.0,53054.0,5555.0,111680.0,3698.0,2427.0,4650.0,181064.0,76207.0,4525.0,16890.0,2233.0,10914.0,3664.0,855.0,1007.0,813.0,355.0,576.0,653.0,19246.0,18998.0,1830.0,21518.0,99635.0,21.6,54057.0,94779.0,57.0,,,Kevin C. Riley,bx,D,"Wakefield, Olinville, Edenwald, Eastchester, Williamsbridge, Baychester, 
Co-op City",W Indians Jamaican,Puerto Rican,Dominican,32908.0,21087.0,19618.0,67325.1
13,170092.0,34975.0,75453.0,53792.0,20552.0,14038.0,2382.0,3875.0,170092.0,58862.0,15003.0,22048.0,3158.0,3708.0,2025.0,1789.0,1573.0,862.0,429.0,282.0,465.0,11538.0,9260.0,9468.0,19918.0,92988.0,21.4,51106.0,88782.0,57.6,,,Kristy Marmorato,bx,R,"Allerton, City Island, Country Club, Edgewater Park, Ferry Point, Locust 
Point, Morris Park, Pelham Bay, Pelham Gardens, Pelham Parkway, 
Schuylerville, Silver Beach, Spencer Estates, Throggs Neck, Van Nest, 
Waterbury LaSalle, Westchester Square, Zerega",Puerto Rican,Dominican,Italian,32078.0,21942.0,20536.0,81096.6
14,168971.0,41420.0,122386.0,4860.0,33487.0,4069.0,1874.0,2295.0,168971.0,60368.0,5755.0,16695.0,1701.0,4793.0,1464.0,748.0,1004.0,426.0,732.0,228.0,237.0,10238.0,8556.0,1659.0,10977.0,82915.0,13.2,36579.0,78679.0,46.5,,,Pierina Ana Sanchez,bx,D,"Morris Heights, University Heights, Fordham, Kingsbridge",Dominican,Puerto Rican,Mexican,71273.0,20407.0,11847.0,43369.5
15,172242.0,43862.0,112541.0,8504.0,43245.0,3199.0,2070.0,2683.0,172242.0,59251.0,5371.0,16874.0,1882.0,4318.0,1367.0,705.0,858.0,369.0,597.0,222.0,267.0,9208.0,7979.0,1495.0,10236.0,82025.0,12.5,33128.0,72358.0,45.8,,,Oswald Feliz,bx,D,"Bedford Park, Fordham, Mount Hope, Bathgate, Belmont, East Tremont, West 
Farms, Van Nest, Allerton, Olinville",Dominican,Puerto Rican,S African African,52780.0,30569.0,12476.0,38801.3
16,169307.0,44192.0,105114.0,3247.0,54453.0,2390.0,1594.0,2509.0,169307.0,67378.0,5216.0,17008.0,1904.0,6302.0,1878.0,702.0,1016.0,486.0,784.0,364.0,299.0,12508.0,11912.0,1512.0,14092.0,92494.0,15.2,39182.0,85470.0,45.8,,,Althea Stevens,bx,D,"Claremont, Concourse, Concourse Village, Highbridge, Morris Heights, Mount 
Eden, Morrisania",Dominican,Puerto Rican,S African African,47577.0,22141.0,16468.0,41426.9
17,176905.0,46852.0,114666.0,3312.0,51989.0,2079.0,2125.0,2734.0,176905.0,64739.0,5033.0,17246.0,2088.0,5181.0,1430.0,653.0,935.0,373.0,611.0,260.0,258.0,10173.0,9323.0,1690.0,11652.0,88043.0,13.2,37098.0,84135.0,44.1,,,Rafael Salamanca Jr.,bx,D,"Concourse Village, Crotona Park East, East Tremont, Hunts Point, Longwood, 
Melrose, Morrisania, Port Morris, West Farms, North Brother Island, South 
Brother Island",Dominican,Puerto Rican,Mexican,40997.0,39174.0,11087.0,38573.3
18,178867.0,42872.0,94759.0,5438.0,46245.0,24767.0,3711.0,3947.0,178867.0,68113.0,5758.0,18564.0,2093.0,6965.0,2503.0,1128.0,1536.0,800.0,658.0,412.0,531.0,15157.0,10840.0,2347.0,13874.0,96216.0,14.4,46194.0,92069.0,50.2,,,Amanda Farías,bx,D,"Soundview, Castle Hill, Parkchester, Clason Point, Harding Park",Puerto Rican,Dominican,Asian Indian,37186.0,30201.0,9077.0,51754.0
19,174225.0,31027.0,33198.0,67084.0,2666.0,67357.0,1054.0,2866.0,174225.0,45942.0,20678.0,27642.0,2987.0,2304.0,1411.0,3222.0,4118.0,1331.0,235.0,326.0,543.0,14022.0,10344.0,16460.0,28415.0,95269.0,29.8,58306.0,92530.0,63.0,20020.0,22.1,Vickie Paladino,q,R,"Auburndale, Bay Terrace, Bayside, Beechhurst, College Point, Douglaston, 
Flushing, Little Neck, Malba, Whitestone","Chinese, Excluding Taiwanese",Italian,Korean,41187.0,22267.0,14519.0,101362.2
20,167198.0,27153.0,25177.0,14395.0,4071.0,120660.0,948.0,1947.0,167198.0,39341.0,9684.0,23062.0,1479.0,1781.0,925.0,1076.0,5371.0,525.0,248.0,135.0,250.0,10926.0,6612.0,5962.0,13633.0,70931.0,19.2,32808.0,69982.0,46.9,9036.0,13.1,Sandra Ung,q,D,"Downtown Flushing, Murray Hill, qboro Hill","Chinese, Excluding Taiwanese",Korean,Italian,77187.0,11244.0,5291.0,65815.3
21,166888.0,39946.0,123767.0,6433.0,13215.0,19605.0,1909.0,1959.0,166888.0,38039.0,5218.0,14510.0,1174.0,3091.0,1189.0,646.0,992.0,305.0,433.0,181.0,209.0,7389.0,6279.0,2007.0,8848.0,58770.0,15.1,27072.0,55361.0,48.9,3995.0,7.0,Francisco Moya,q,D,"East Elmhurst, Elmhurst, Jackson Heights, and Corona in q, including 
Flushing Meadows Corona Park, Lefrak City and LaGuardia Airport",Ecuadorian,Mexican,Dominican,34685.0,26396.0,20586.0,75033.0
22,162700.0,21988.0,41082.0,81870.0,7899.0,23003.0,2519.0,6327.0,162700.0,67535.0,10710.0,25305.0,2613.0,2303.0,6454.0,4075.0,1985.0,942.0,736.0,236.0,529.0,17905.0,13132.0,6445.0,22028.0,91222.0,24.2,61259.0,97208.0,63.0,14332.0,16.1,Tiffany Cabán,q,D,"Astoria, East Elmhurst, Jackson Heights, Woodside",Italian,Irish,Greek,14530.0,11009.0,9271.0,95764.9
23,172216.0,30408.0,24861.0,37428.0,18050.0,77271.0,7764.0,6842.0,172216.0,61030.0,14639.0,28353.0,2778.0,4608.0,2320.0,3045.0,3783.0,1655.0,449.0,492.0,790.0,17779.0,13608.0,9598.0,24642.0,102220.0,24.1,61637.0,101471.0,60.7,15182.0,15.4,Linda Lee,q,D,"Bayside Hills, Bellerose, Douglaston, Floral Park, Fresh Meadows, Glen 
Oaks, Hollis, Hollis Hills, Holliswood, Little Neck, New Hyde Park, Oakland 
Gardens, q Village",Asian Indian,Chinese,Guyanese,27446.0,23606.0,9285.0,97786.2
24,166913.0,33711.0,33550.0,47294.0,16990.0,59769.0,3382.0,5928.0,166913.0,57534.0,13986.0,26093.0,2282.0,4530.0,1912.0,1968.0,3674.0,1140.0,421.0,293.0,512.0,14937.0,11098.0,6978.0,19189.0,90571.0,21.2,52410.0,91779.0,57.1,10361.0,11.9,James F. Gennaro,q,D,"Kew Gardens Hills, Pomonok, Electchester, Fresh Meadows, Hillcrest, Jamaica 
Estates, Briarwood, Parkway Village, Jamaica Hills, Jamaica","Chinese, Excluding Taiwanese",Bangladeshi,Asian Indian,19715.0,10750.0,10133.0,87371.5
25,173204.0,31879.0,76616.0,19322.0,2574.0,69860.0,1869.0,2963.0,173204.0,49095.0,8429.0,21468.0,1713.0,2429.0,3215.0,2798.0,3156.0,880.0,720.0,1075.0,476.0,15373.0,10751.0,4395.0,16712.0,80978.0,20.6,42983.0,76909.0,55.9,9421.0,12.1,Shekar Krishnan,q,D,"Elmhurst, Jackson Heights",Mexican,"Chinese, excluding Taiwanese",Ecuadorian,20464.0,19730.0,17900.0,73604.5
26,174544.0,27876.0,52553.0,47693.0,11308.0,55551.0,2123.0,5316.0,174544.0,57190.0,8709.0,22906.0,2087.0,3243.0,4859.0,3782.0,2802.0,936.0,704.0,320.0,551.0,17926.0,13113.0,4755.0,19822.0,89431.0,22.2,52274.0,84865.0,61.6,11024.0,13.3,Julie Won,q,D,"Sunnyside, Woodside, Long Island City, Astoria, Dutch Kills","Chinese, Excluding Taiwanese",Mexican,Irish,13988.0,12207.0,10020.0,91049.7
27,167236.0,33876.0,28971.0,3177.0,100522.0,20664.0,5704.0,8198.0,167236.0,78627.0,4401.0,18897.0,2118.0,13363.0,3359.0,592.0,919.0,740.0,335.0,681.0,544.0,20994.0,20304.0,1379.0,22304.0,101249.0,22.0,56033.0,100047.0,56.0,9823.0,10.0,Nantasha Williams,q,D,"Cambria Heights, Hollis, Jamaica, St. Albans, q Village, and 
Springfield Gardens",W Indians Jamaican,W Indians Haitian,Bangladeshi,24012.0,11229.0,10759.0,97762.7
28,174453.0,35003.0,28596.0,5172.0,75126.0,29761.0,20137.0,15661.0,174453.0,68203.0,5785.0,19479.0,2038.0,8957.0,2219.0,566.0,1117.0,574.0,258.0,526.0,528.0,15179.0,14374.0,1880.0,16833.0,95046.0,17.7,48215.0,91366.0,52.8,7845.0,8.6,Adrienne E. Adams,q,D,"Jamaica, Richmond Hill, Rochdale Village, South Ozone Park",Asian Indian,Guyanese,W Indians Jamaican,27086.0,24186.0,11346.0,89076.9
