ed,county,ab_military,affidavit,trump_con,trump_rep,fed,harris_dem,harris_wor,manually_counted_emergency,public_counter,scattered,Grand Total,harris_tot,trump_tot,prez_votes,
24009,Queens,52.0,20.0,11.0,311.0,0.0,577.0,9.0,0.0,851.0,11.0,1842.0,586.0,322.0,923.0,
24010,Queens,60.0,19.0,10.0,192.0,1.0,514.0,21.0,0.0,668.0,7.0,1492.0,535.0,202.0,747.0,
24011,Queens,49.0,17.0,8.0,180.0,0.0,337.0,13.0,0.0,483.0,7.0,1094.0,350.0,188.0,549.0,
24012,Queens,27.0,8.0,7.0,173.0,0.0,262.0,4.0,0.0,417.0,5.0,903.0,266.0,180.0,452.0,
24013,Queens,41.0,18.0,16.0,265.0,0.0,431.0,23.0,0.0,696.0,15.0,1505.0,454.0,281.0,755.0,
24014,Queens,52.0,37.0,19.0,328.0,0.0,405.0,10.0,0.0,685.0,10.0,1546.0,415.0,347.0,774.0,
24015,Queens,53.0,11.0,14.0,286.0,1.0,345.0,6.0,0.0,599.0,9.0,1324.0,351.0,300.0,663.0,
24017,Queens,6.0,2.0,2.0,26.0,3.0,74.0,3.0,0.0,109.0,13.0,238.0,77.0,28.0,117.0,
24018,Queens,30.0,14.0,10.0,201.0,1.0,255.0,8.0,0.0,439.0,5.0,963.0,263.0,211.0,483.0,
24019,Queens,64.0,23.0,6.0,267.0,2.0,385.0,16.0,0.0,599.0,10.0,1372.0,401.0,273.0,686.0,
24020,Queens,23.0,1.0,2.0,71.0,0.0,159.0,2.0,0.0,212.0,2.0,472.0,161.0,73.0,236.0,
24021,Queens,37.0,12.0,22.0,232.0,2.0,245.0,30.0,0.0,492.0,11.0,1083.0,275.0,254.0,541.0,
24022,Queens,7.0,5.0,3.0,58.0,1.0,39.0,3.0,0.0,93.0,3.0,212.0,42.0,61.0,105.0,
24023,Queens,37.0,13.0,11.0,184.0,0.0,316.0,9.0,0.0,477.0,5.0,1052.0,325.0,195.0,527.0,
24024,Queens,48.0,8.0,17.0,234.0,1.0,206.0,19.0,0.0,435.0,12.0,980.0,225.0,251.0,491.0,
24025,Queens,13.0,6.0,10.0,104.0,3.0,121.0,12.0,0.0,228.0,2.0,499.0,133.0,114.0,247.0,
24026,Queens,31.0,13.0,13.0,169.0,2.0,246.0,13.0,0.0,409.0,10.0,906.0,259.0,182.0,453.0,
24027,Queens,16.0,6.0,3.0,101.0,2.0,181.0,4.0,0.0,319.0,50.0,682.0,185.0,104.0,341.0,
24028,Queens,39.0,8.0,13.0,137.0,3.0,232.0,18.0,0.0,370.0,18.0,838.0,250.0,150.0,417.0,
24029,Queens,50.0,23.0,21.0,261.0,0.0,413.0,16.0,0.0,660.0,14.0,1458.0,429.0,282.0,733.0,
24030,Queens,61.0,18.0,11.0,230.0,7.0,292.0,19.0,0.0,493.0,25.0,1156.0,311.0,241.0,572.0,
24031,Queens,67.0,22.0,16.0,341.0,5.0,394.0,18.0,0.0,714.0,31.0,1608.0,412.0,357.0,803.0,
24032,Queens,72.0,25.0,13.0,258.0,2.0,402.0,9.0,0.0,603.0,13.0,1397.0,411.0,271.0,700.0,
24033,Queens,3.0,0.0,0.0,21.0,0.0,13.0,1.0,0.0,33.0,,71.0,14.0,21.0,36.0,
24034,Queens,17.0,8.0,4.0,80.0,0.0,110.0,2.0,0.0,193.0,17.0,431.0,112.0,84.0,218.0,
24035,Queens,29.0,7.0,11.0,110.0,1.0,170.0,8.0,0.0,280.0,17.0,633.0,178.0,121.0,316.0,
24036,Queens,107.0,10.0,14.0,255.0,4.0,478.0,33.0,0.0,678.0,15.0,1594.0,511.0,269.0,795.0,
24037,Queens,20.0,25.0,8.0,168.0,1.0,241.0,11.0,0.0,398.0,13.0,885.0,252.0,176.0,443.0,
24038,Queens,89.0,27.0,15.0,262.0,3.0,561.0,61.0,0.0,836.0,50.0,1904.0,622.0,277.0,952.0,
24039,Queens,82.0,19.0,19.0,261.0,9.0,414.0,28.0,0.0,627.0,9.0,1468.0,442.0,280.0,728.0,
24040,Queens,57.0,13.0,5.0,169.0,2.0,287.0,12.0,0.0,425.0,10.0,980.0,299.0,174.0,495.0,
24041,Queens,34.0,22.0,15.0,184.0,1.0,211.0,8.0,0.0,407.0,38.0,920.0,219.0,199.0,463.0,
24042,Queens,35.0,13.0,10.0,128.0,1.0,312.0,6.0,0.0,436.0,28.0,969.0,318.0,138.0,484.0,
24043,Queens,67.0,28.0,14.0,300.0,2.0,397.0,18.0,0.0,711.0,69.0,1606.0,415.0,314.0,806.0,
24044,Queens,41.0,9.0,4.0,122.0,1.0,205.0,11.0,0.0,373.0,74.0,840.0,216.0,126.0,423.0,
24045,Queens,24.0,7.0,2.0,58.0,0.0,99.0,3.0,0.0,135.0,4.0,332.0,102.0,60.0,166.0,
24046,Queens,100.0,41.0,22.0,295.0,6.0,705.0,29.0,0.0,957.0,44.0,2199.0,734.0,317.0,1098.0,
24047,Queens,115.0,22.0,14.0,271.0,1.0,550.0,19.0,0.0,783.0,46.0,1821.0,569.0,285.0,920.0,
24048,Queens,50.0,4.0,10.0,113.0,4.0,195.0,6.0,0.0,284.0,13.0,679.0,201.0,123.0,338.0,
24049,Queens,80.0,22.0,47.0,872.0,16.0,282.0,12.0,0.0,1117.0,13.0,2461.0,294.0,919.0,1219.0,
24050,Queens,29.0,11.0,11.0,249.0,3.0,96.0,7.0,0.0,325.0,4.0,735.0,103.0,260.0,365.0,
24051,Queens,89.0,38.0,26.0,366.0,2.0,568.0,21.0,0.0,898.0,14.0,2022.0,589.0,392.0,1025.0,
24052,Queens,107.0,18.0,15.0,287.0,2.0,693.0,19.0,0.0,925.0,31.0,2097.0,712.0,302.0,1050.0,
24053,Queens,106.0,32.0,6.0,152.0,1.0,892.0,19.0,0.0,949.0,14.0,2171.0,911.0,158.0,1087.0,
24054,Queens,14.0,5.0,1.0,43.0,0.0,121.0,5.0,0.0,156.0,5.0,350.0,126.0,44.0,175.0,
24055,Queens,80.0,33.0,7.0,181.0,1.0,406.0,15.0,0.0,527.0,24.0,1274.0,421.0,188.0,640.0,
24056,Queens,107.0,28.0,17.0,245.0,1.0,498.0,15.0,0.0,656.0,14.0,1581.0,513.0,262.0,791.0,
24057,Queens,53.0,14.0,18.0,238.0,2.0,378.0,18.0,0.0,594.0,9.0,1324.0,396.0,256.0,661.0,
24058,Queens,88.0,23.0,21.0,460.0,9.0,399.0,21.0,0.0,799.0,10.0,1830.0,420.0,481.0,910.0,
24059,Queens,99.0,15.0,26.0,344.0,3.0,426.0,13.0,0.0,714.0,17.0,1657.0,439.0,370.0,828.0,
24060,Queens,161.0,23.0,46.0,486.0,6.0,623.0,28.0,0.0,1024.0,13.0,2410.0,651.0,532.0,1208.0,
24061,Queens,148.0,19.0,35.0,399.0,3.0,577.0,31.0,0.0,901.0,19.0,2132.0,608.0,434.0,1068.0,
24062,Queens,113.0,25.0,29.0,443.0,7.0,585.0,22.0,0.0,948.0,12.0,2184.0,607.0,472.0,1086.0,
24063,Queens,86.0,7.0,19.0,193.0,3.0,262.0,15.0,0.0,398.0,4.0,987.0,277.0,212.0,491.0,
24064,Queens,107.0,9.0,19.0,418.0,0.0,433.0,19.0,0.0,795.0,8.0,1808.0,452.0,437.0,911.0,
24065,Queens,131.0,27.0,22.0,263.0,7.0,532.0,21.0,0.0,775.0,90.0,1868.0,553.0,285.0,933.0,
24066,Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
25001,Queens,124.0,30.0,20.0,319.0,5.0,646.0,34.0,0.0,894.0,25.0,2097.0,680.0,339.0,1048.0,
25002,Queens,173.0,18.0,17.0,251.0,6.0,599.0,57.0,0.0,754.0,23.0,1898.0,656.0,268.0,945.0,
25003,Queens,25.0,5.0,8.0,119.0,0.0,95.0,9.0,0.0,207.0,2.0,470.0,104.0,127.0,237.0,
25004,Queens,22.0,23.0,11.0,160.0,0.0,255.0,18.0,0.0,416.0,15.0,920.0,273.0,171.0,461.0,
25005,Queens,97.0,22.0,21.0,275.0,9.0,635.0,38.0,0.0,872.0,24.0,1993.0,673.0,296.0,991.0,
25006,Queens,53.0,20.0,13.0,308.0,2.0,277.0,20.0,0.0,578.0,33.0,1304.0,297.0,321.0,651.0,
25007,Queens,12.0,6.0,3.0,51.0,0.0,56.0,1.0,0.0,100.0,6.0,235.0,57.0,54.0,118.0,
25008,Queens,8.0,5.0,2.0,16.0,0.0,39.0,1.0,0.0,46.0,1.0,118.0,40.0,18.0,59.0,
25009,Queens,101.0,28.0,22.0,476.0,6.0,328.0,23.0,0.0,735.0,15.0,1734.0,351.0,498.0,864.0,
25010,Queens,2.0,1.0,1.0,16.0,0.0,17.0,1.0,0.0,33.0,1.0,72.0,18.0,17.0,36.0,
25011,Queens,81.0,14.0,20.0,440.0,14.0,233.0,13.0,0.0,615.0,8.0,1438.0,246.0,460.0,710.0,
25012,Queens,129.0,20.0,31.0,565.0,6.0,403.0,24.0,0.0,889.0,17.0,2084.0,427.0,596.0,1038.0,
25013,Queens,98.0,18.0,27.0,507.0,4.0,383.0,27.0,0.0,847.0,11.0,1922.0,410.0,534.0,963.0,
25014,Queens,99.0,16.0,24.0,517.0,13.0,328.0,15.0,0.0,787.0,19.0,1818.0,343.0,541.0,902.0,
25015,Queens,71.0,18.0,26.0,354.0,6.0,268.0,17.0,0.0,594.0,16.0,1370.0,285.0,380.0,683.0,
25016,Queens,96.0,13.0,19.0,507.0,20.0,253.0,11.0,0.0,694.0,25.0,1638.0,264.0,526.0,803.0,
25017,Queens,129.0,19.0,29.0,455.0,4.0,370.0,23.0,0.0,743.0,10.0,1782.0,393.0,484.0,891.0,
25018,Queens,84.0,27.0,20.0,314.0,4.0,460.0,26.0,0.0,729.0,18.0,1682.0,486.0,334.0,840.0,
25019,Queens,93.0,42.0,16.0,282.0,2.0,529.0,16.0,0.0,743.0,31.0,1754.0,545.0,298.0,878.0,
25020,Queens,122.0,37.0,13.0,260.0,1.0,542.0,15.0,0.0,706.0,22.0,1718.0,557.0,273.0,865.0,
25021,Queens,61.0,23.0,16.0,156.0,1.0,231.0,13.0,0.0,342.0,5.0,848.0,244.0,172.0,426.0,
25022,Queens,109.0,25.0,28.0,431.0,3.0,616.0,30.0,0.0,1001.0,21.0,2264.0,646.0,459.0,1135.0,
25023,Queens,67.0,7.0,19.0,238.0,4.0,281.0,10.0,0.0,487.0,9.0,1122.0,291.0,257.0,561.0,
25024,Queens,115.0,7.0,24.0,268.0,3.0,311.0,17.0,0.0,517.0,18.0,1280.0,328.0,292.0,639.0,
25025,Queens,117.0,25.0,27.0,468.0,6.0,458.0,32.0,0.0,855.0,7.0,1995.0,490.0,495.0,997.0,
25026,Queens,125.0,17.0,36.0,473.0,1.0,431.0,21.0,0.0,839.0,15.0,1958.0,452.0,509.0,981.0,
25027,Queens,84.0,16.0,23.0,368.0,3.0,501.0,21.0,0.0,823.0,8.0,1847.0,522.0,391.0,923.0,
25028,Queens,88.0,20.0,21.0,288.0,1.0,382.0,22.0,0.0,621.0,11.0,1454.0,404.0,309.0,729.0,
25029,Queens,84.0,25.0,21.0,469.0,10.0,399.0,26.0,0.0,820.0,13.0,1867.0,425.0,490.0,929.0,
25030,Queens,104.0,21.0,23.0,425.0,8.0,353.0,12.0,0.0,703.0,11.0,1660.0,365.0,448.0,828.0,
25031,Queens,82.0,13.0,31.0,376.0,0.0,338.0,14.0,0.0,695.0,23.0,1572.0,352.0,407.0,790.0,
25032,Queens,78.0,18.0,20.0,351.0,1.0,272.0,11.0,0.0,578.0,10.0,1339.0,283.0,371.0,674.0,
25033,Queens,111.0,13.0,36.0,527.0,7.0,357.0,24.0,0.0,828.0,8.0,1911.0,381.0,563.0,952.0,
25034,Queens,80.0,23.0,33.0,438.0,1.0,361.0,20.0,0.0,770.0,17.0,1743.0,381.0,471.0,873.0,
25035,Queens,62.0,18.0,21.0,368.0,1.0,353.0,22.0,0.0,701.0,10.0,1556.0,375.0,389.0,781.0,
25036,Queens,92.0,21.0,16.0,326.0,1.0,313.0,19.0,0.0,572.0,8.0,1368.0,332.0,342.0,685.0,
25037,Queens,54.0,12.0,10.0,273.0,0.0,266.0,27.0,0.0,527.0,14.0,1183.0,293.0,283.0,593.0,
25038,Queens,69.0,15.0,22.0,312.0,3.0,268.0,7.0,0.0,529.0,4.0,1229.0,275.0,334.0,613.0,
25039,Queens,72.0,21.0,15.0,351.0,3.0,245.0,10.0,0.0,540.0,10.0,1267.0,255.0,366.0,633.0,
25040,Queens,55.0,14.0,18.0,337.0,1.0,301.0,10.0,0.0,601.0,2.0,1339.0,311.0,355.0,670.0,
25041,Queens,41.0,10.0,12.0,234.0,4.0,224.0,11.0,0.0,441.0,12.0,989.0,235.0,246.0,492.0,
25042,Queens,81.0,20.0,20.0,305.0,3.0,332.0,17.0,0.0,593.0,19.0,1390.0,349.0,325.0,694.0,
25043,Queens,98.0,18.0,16.0,294.0,1.0,303.0,24.0,0.0,539.0,11.0,1304.0,327.0,310.0,655.0,
25044,Queens,54.0,30.0,12.0,275.0,2.0,376.0,13.0,0.0,616.0,17.0,1395.0,389.0,287.0,700.0,
25045,Queens,85.0,9.0,20.0,316.0,1.0,360.0,14.0,0.0,628.0,9.0,1442.0,374.0,336.0,722.0,
25046,Queens,51.0,15.0,15.0,258.0,6.0,234.0,6.0,0.0,477.0,34.0,1096.0,240.0,273.0,543.0,
25047,Queens,34.0,8.0,9.0,168.0,0.0,178.0,12.0,0.0,332.0,3.0,744.0,190.0,177.0,374.0,
25048,Queens,43.0,5.0,4.0,48.0,2.0,102.0,7.0,0.0,116.0,3.0,330.0,109.0,52.0,164.0,
25049,Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
25050,Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
26001,Queens,51.0,17.0,7.0,161.0,0.0,180.0,6.0,0.0,307.0,18.0,747.0,186.0,168.0,375.0,
26002,Queens,17.0,10.0,3.0,50.0,0.0,127.0,1.0,0.0,162.0,7.0,377.0,128.0,53.0,189.0,
26003,Queens,12.0,5.0,3.0,94.0,0.0,102.0,5.0,0.0,208.0,18.0,447.0,107.0,97.0,225.0,
26004,Queens,62.0,6.0,9.0,140.0,0.0,201.0,12.0,0.0,318.0,20.0,768.0,213.0,149.0,386.0,
26005,Queens,6.0,4.0,1.0,12.0,0.0,26.0,3.0,0.0,34.0,,86.0,29.0,13.0,44.0,
26006,Queens,94.0,16.0,13.0,291.0,3.0,401.0,22.0,0.0,625.0,6.0,1471.0,423.0,304.0,735.0,
26007,Queens,138.0,21.0,29.0,361.0,5.0,532.0,25.0,2.0,815.0,25.0,1953.0,557.0,390.0,976.0,
26008,Queens,154.0,32.0,41.0,407.0,1.0,619.0,25.0,0.0,930.0,15.0,2224.0,644.0,448.0,1116.0,
26009,Queens,109.0,20.0,13.0,163.0,2.0,253.0,14.0,0.0,344.0,29.0,947.0,267.0,176.0,473.0,
26010,Queens,185.0,17.0,13.0,216.0,1.0,763.0,5.0,0.0,806.0,4.0,2010.0,768.0,229.0,1008.0,
26011,Queens,97.0,14.0,9.0,134.0,1.0,398.0,3.0,0.0,438.0,1.0,1095.0,401.0,143.0,549.0,
26012,Queens,171.0,28.0,40.0,476.0,4.0,625.0,28.0,2.0,997.0,22.0,2393.0,653.0,516.0,1198.0,
26013,Queens,177.0,31.0,41.0,559.0,4.0,477.0,30.0,0.0,936.0,35.0,2290.0,507.0,600.0,1144.0,
26014,Queens,118.0,20.0,35.0,481.0,4.0,501.0,24.0,0.0,927.0,20.0,2130.0,525.0,516.0,1065.0,
26015,Queens,124.0,24.0,34.0,440.0,1.0,596.0,22.0,0.0,992.0,37.0,2270.0,618.0,474.0,1140.0,
26016,Queens,177.0,15.0,39.0,469.0,3.0,527.0,28.0,0.0,897.0,21.0,2176.0,555.0,508.0,1089.0,
26017,Queens,193.0,17.0,55.0,439.0,1.0,596.0,21.0,0.0,920.0,12.0,2254.0,617.0,494.0,1130.0,
26018,Queens,127.0,17.0,17.0,293.0,1.0,368.0,26.0,0.0,581.0,16.0,1446.0,394.0,310.0,725.0,
26019,Queens,72.0,7.0,20.0,216.0,3.0,210.0,7.0,0.0,379.0,3.0,917.0,217.0,236.0,458.0,
26020,Queens,199.0,21.0,37.0,488.0,3.0,586.0,25.0,0.0,943.0,15.0,2317.0,611.0,525.0,1163.0,
26021,Queens,192.0,18.0,42.0,529.0,4.0,495.0,34.0,0.0,908.0,9.0,2231.0,529.0,571.0,1118.0,
26022,Queens,171.0,19.0,42.0,580.0,3.0,489.0,21.0,0.0,979.0,27.0,2331.0,510.0,622.0,1169.0,
26023,Queens,148.0,24.0,43.0,409.0,5.0,515.0,41.0,0.0,856.0,16.0,2057.0,556.0,452.0,1028.0,
26024,Queens,148.0,31.0,31.0,477.0,5.0,545.0,32.0,0.0,929.0,20.0,2218.0,577.0,508.0,1108.0,
26025,Queens,87.0,7.0,22.0,304.0,1.0,353.0,10.0,0.0,615.0,11.0,1410.0,363.0,326.0,709.0,
26026,Queens,116.0,22.0,32.0,334.0,5.0,399.0,11.0,0.0,653.0,14.0,1586.0,410.0,366.0,791.0,
